trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.2, 'e': 0.3599999999999999}",25,8,-156.21489066242057,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 4}",1
60,False,"{'a': 0.2, 'e': 0.34999999999999987}",20,5,15.834368578530388,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.33999999999999986}",20,5,-27.532790428276055,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.2, 'e': 0.32999999999999985}",20,8,-1.8964206196238367,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.31999999999999984}",25,10,12.903814717607062,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.30999999999999983}",20,13,12.583705982443707,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.2999999999999998}",25,3,33.71324175549758,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.2899999999999998}",30,8,23.368359434749564,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.2799999999999998}",20,0,-4.953226684114885,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.3199999999999998}",20,0,-41.22567627185019,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
69,False,"{'a': 0.2, 'e': 0.35999999999999976}",20,0,10.167179264466421,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.2, 'e': 0.39999999999999974}",20,0,-13.84756253291251,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.2, 'e': 0.4399999999999997}",25,6,-84.14375318121833,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 2}",1
72,False,"{'a': 0.2, 'e': 0.4299999999999997}",20,0,6.21740660422141,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.4699999999999997}",35,7,-22.178484193797154,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.2, 'e': 0.4599999999999997}",20,10,9.888827748870343,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.4499999999999997}",30,3,-72.1592159642702,"{0: 20, 1: 3, 2: 1, 3: 2, 4: 1}",1
76,False,"{'a': 0.2, 'e': 0.43999999999999967}",25,8,4.687345848678446,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.42999999999999966}",20,13,2.520308579020091,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.41999999999999965}",25,13,17.290017480669956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.40999999999999964}",20,8,-112.08268471394925,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 3}",1
80,False,"{'a': 0.2, 'e': 0.39999999999999963}",25,11,15.705462108568282,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.3899999999999996}",20,3,2.2255547364341335,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.3799999999999996}",25,10,14.911318226122464,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
